community,province,population,population_type (Census 2016),lat,long,violence_rate,year,nat_avg
St. Eustache,QC,44008,Census subdivision,45.5585,-73.8961,1044,2008,1357.159959
Sundre,AB,2729,Census subdivision,51.7972,-114.6405,1044,2015,1113.9
Terrebonne,QC,111575,Census subdivision,45.693,-73.6331,1044,2009,1450
Athabaska Region,QC,,,45.9394,-72.0236,1045,2013,1200.9
Haute-Cote-Nord Region,QC,10846,Census division,48.566667,-69.23333,1045,2011,1346.6
North Bay,ON,51553,Census subdivision,46.3091,-79.4608,1045,2011,1346.6
Oromocto,NB,9223,Census subdivision,45.8487,-66.4813,1045,2010,1493.7
Queens County,NS,10351,Census division,44.2372,-64.98,1045,2008,1357.159959
Esterhazy,SK,2502,Census subdivision,50.6569,-102.0758,1046,2015,1113.9
Morinville,AB,9848,Census subdivision,53.7925,-113.6463,1046,2015,1113.9
Stony Plain,AB,17189,Census subdivision,53.5279,-114.0019,1046,2012,1310.8
Enderby,BC,2964,Census subdivision,50.5508,-119.1397,1047,2008,1357.159959
St. Eustache,QC,44008,Census subdivision,45.5585,-73.8961,1048,2010,1493.7
Huntsville,ON,19816,,45.3269,-79.2168,1049,2009,1450
Maple Ridge,BC,82256,Census subdivision,49.2193,-122.5984,1049,2012,1310.8
Okotoks,AB,28881,Census subdivision,50.7255,-113.9749,1049,2010,1493.7
Richmond County,NS,8964,Census division,45.6936,-60.6488,1049,2015,1113.9
Kindersley,SK,4571,Census subdivision,51.4675,-109.1547,1050,2013,1200.9
Sackville,NB,5331,Census subdivision,45.8979,-64.3683,1050,2013,1200.9
Spruce Grove,AB,34066,Census subdivision,53.5428,-113.9034,1050,2012,1310.8
Manitoulin (Manitowaning),ON,13255,Census division,45.7373,-81.8137,1051,2009,1450
Mekinac Region,QC,12358,Census division,46.816667,-72.51667,1051,2010,1493.7
Temiskaming,ON,9920,Census subdivision,47.833333,-80.5,1051,2010,1493.7
Manitoulin (Manitowaning),ON,13255,Census division,45.7373,-81.8137,1052,2010,1493.7
Matawinie Region,QC,50435,Census division,46.8005,-74.0465,1052,2013,1200.9
Corner Brook,NL,19806,Census subdivision,48.949,-57.9503,1053,2010,1493.7
Greater Sudbury,ON,161531,Census subdivision,46.5221,-80.953,1053,2010,1493.7
Maria-Chapdelaine Region,QC,24793,Census division,49.614,-72.0911,1053,2013,1200.9
South East District,NB,,,46.0431,-64.5263,1053,2011,1346.6
"Beresford, Nigadoo, Petit-Rocher, Pointe-Verte",NB,6248,Census subdivision,47.8,-65.7,1054,2009,1450
Cape Breton Region,NS,94285,Census subdivision,46.0242,-60.3,1054,2012,1310.8
Chestermere,AB,19887,Census subdivision,51.0498,-113.8233,1054,2010,1493.7
Temiscamingue Region,QC,146717,,47.55,-79.23333,1054,2008,1357.159959
Victoria County,NS,2567,Census subdivision,46.6312,-60.4209,1054,2015,1113.9
Exeter (South Huron),ON,10096,Census subdivision,43.3473,-81.4806,1055,2008,1357.159959
Pitt Meadows,BC,18573,Census subdivision,49.2191,-122.6895,1056,2011,1346.6
Warman,SK,11020,Census subdivision,52.3184,-106.5751,1056,2011,1346.6
Campbell River,BC,32588,Census subdivision,50.0331,-125.2733,1057,2014,1088.4
Creston,BC,5351,Census subdivision,49.0955,-116.5135,1057,2013,1200.9
Windsor,NS,3648,Census subdivision,44.9903,-64.131,"1,058.40",2012,1310.8
Bancroft,ON,3881,Census subdivision,45.0559,-77.8549,1059,2014,1088.4
Drummond Region,QC,103397,Federal electoral district,45.8615,-72.5174,1059,2010,1493.7
Chilliwack,BC,83788,Census subdivision,49.1579,-121.9515,1060,2012,1310.8
Martensville,SK,9645,Census subdivision,52.2931,-106.6578,1060,2010,1493.7
Spirit River,AB,995,Census subdivision,55.7803,-118.8421,1060,2010,1493.7
Stratford,ON,31465,Census subdivision,53.522,-113.4916,1060,2008,1357.159959
Warman,SK,11020,Census subdivision,52.3184,-106.5751,1060,2010,1493.7
Evansburg,AB,795,Designated place,53.5998,-115.0177,1061,2012,1310.8
Montague,PEI,1961,Census subdivision,46.1651,-62.648,1061,2010,1493.7
Saguenay,QC,145949,Census subdivision,48.416667,-71.06667,1061,2014,1088.4
Almaguin Highlands,ON,,,45.8,-79.6,1063,2012,1310.8
Cape Breton Region,NS,94285,Census subdivision,46.0242,-60.3,1063,2010,1493.7
Corner Brook,NL,19806,Census subdivision,48.949,-57.9503,1063,2008,1357.159959
Fredericton,NB,58220,Census subdivision,45.9636,-66.6431,1063,2015,1113.9
Pays-d'en-Haut Region,QC,,,45.9136,-74.172,1063,2009,1450
East Algoma (Elliot Lake),ON,10741,Census subdivision,46.3862,-82.6509,1064,2011,1346.6
Mascouche,QC,46692,Census subdivision,45.7773,-73.6324,1064,2015,1113.9
Vancouver,BC,2463431,CMA,49.2827,-123.1207,1064,2014,1088.4
Moose Jaw,SK,33890,Census subdivision,50.3916,-105.5349,1065,2014,1088.4
Kindersley,SK,4571,Census subdivision,51.4675,-109.1547,1066,2014,1088.4
Lake Cowichan,BC,3226,Census subdivision,50.0549,-119.4148,1066,2012,1310.8
Gander,NL,11688,Census subdivision,48.9544,-54.6103,1067,2012,1310.8
Saguenay,QC,145949,Census subdivision,48.416667,-71.06667,1067,2010,1493.7
Whitbourne,NL,890,Census subdivision,47.4184,-53.5327,1068,2015,1113.9
Almaguin Highlands,ON,,,45.8,-79.6,1069,2010,1493.7
Blackfalds,AB,9328,Census subdivision,52.3808,-113.7946,1069,2014,1088.4
Caledonia District,NB,,,46.133218,-64.74835,1069,2010,1493.7
Saint-Jean-sur-Richelieu,QC,84685,,45.3058,-73.2545,1070,2015,1113.9
Avignon/Bonaventure Region,QC,14461,Census division,48.2172,-65.9045,1071,2008,1357.159959
North Bay,ON,51553,Census subdivision,46.3091,-79.4608,1071,2012,1310.8
Cardston,AB,3585,Census subdivision,49.1951,-113.3018,1072,2011,1346.6
Inverness County,NS,17235,Census division,46.2762,-61.0542,1072,2010,1493.7
North Bay,ON,51553,Census subdivision,46.3091,-79.4608,1072,2013,1200.9
Airdrie,AB,61581,Census subdivision,51.2917,-114.0144,1073,2008,1357.159959
Joliette Region,QC,66550,Census division,46.016667,-73.45,1073,2013,1200.9
Port Hope,ON,16753,Census subdivision,43.9492,-78.2934,1073,2010,1493.7
Killam,AB,989,Census subdivision,52.7911,-111.8606,1074,2010,1493.7
Mitis Region,QC,18210,Census subdivision,48.6536,-68.1375,1074,2015,1113.9
Powell River,BC,16783,Census agglomeration,49.8352,-124.5247,1074,2011,1346.6
Renfrew,ON,8223,Census subdivision,45.4749,-76.6877,1074,2008,1357.159959
Westlock,AB,5101,Census subdivision,54.1522,-113.8514,1074,2012,1310.8
Woodstock,NB,5228,Census subdivision,46.1503,-67.6034,1074,2013,1200.9
Lanark County (Carleton Place),ON,10644,Census subdivision,45.1406,-76.1465,1075,2014,1088.4
Medicine Hat,AB,63260,Census subdivision,50.0405,-110.6764,1075,2015,1113.9
Bonnyville,AB,5417,Census subdivision,54.2682,-110.72,1077,2008,1357.159959
St. John's,NL,205955,CMA,47.5615,-52.7126,1077,2012,1310.8
Carleton District,NB,102918,Federal electoral district,46.378,-67.49,1078,2012,1310.8
Gatineau,QC,276245,Census subdivision,45.4765,-75.7013,1079,2013,1200.9
Lac du Bonnet,MB,1081,Census subdivision,50.2594,-96.0616,1079,2015,1113.9
Manicouagan Region,QC,31027,Census division,49.216667,-68.15,1079,2010,1493.7
Medicine Hat,AB,63260,Census subdivision,50.0405,-110.6764,1079,2011,1346.6
Olds,AB,9184,Census subdivision,51.792,-114.1053,1079,2013,1200.9
Chateauguay,QC,47906,Census subdivision,45.3602,-73.7494,1080,2009,1450
Joliette Region,QC,66550,Census division,46.016667,-73.45,1080,2009,1450
Saint-Jean-sur-Richelieu,QC,84685,,45.3058,-73.2545,1080,2010,1493.7
St. John's,NL,205955,CMA,47.5615,-52.7126,1080,2011,1346.6
Langley City,BC,25888,Census subdivision,49.1042,-122.6604,1081,2013,1200.9
Maple Ridge,BC,82256,Census subdivision,49.2193,-122.5984,1081,2015,1113.9
Terrebonne,QC,111575,Census subdivision,45.693,-73.6331,1081,2010,1493.7
Courtenay,BC,25599,Census subdivision,49.6841,-124.9904,1082,2015,1113.9
Lanark County (Carleton Place),ON,10644,Census subdivision,45.1406,-76.1465,1082,2012,1310.8
Windsor,NS,3648,Census subdivision,44.9903,-64.131,"1,082.70",2011,1346.6
East Algoma (Elliot Lake),ON,10741,Census subdivision,46.3862,-82.6509,1083,2012,1310.8
Oxford (Ingersoll),ON,12757,Census subdivision,43.0382,-80.884,1083,2013,1200.9
Medicine Hat,AB,63260,Census subdivision,50.0405,-110.6764,1084,2008,1357.159959
Montreal,QC,1704694,Census subdivision,45.5017,-73.5673,1084,2012,1310.8
Pictou County,NS,43748,Census division,45.5776,-62.6511,1084,2014,1088.4
Sechelt,BC,10216,Census subdivision,49.4742,-123.7546,1084,2012,1310.8
Carleton District,NB,102918,Federal electoral district,46.378,-67.49,1085,2011,1346.6
Chatham-Kent,ON,101647,Census subdivision,42.4048,-82.191,1085,2010,1493.7
Columbia Valley,BC,266,Designated Place,50.5065,-116.0291,1085,2012,1310.8
Papineau Region,QC,22832,Census division,45.7755,-75.1489,1085,2008,1357.159959
Powell River,BC,16783,Census agglomeration,49.8352,-124.5247,1085,2010,1493.7
Sechelt,BC,10216,Census subdivision,49.4742,-123.7546,1085,2015,1113.9
D'Autray Region,QC,42189,Census division,46.1721,-73.2616,1086,2014,1088.4
Drummond Region,QC,103397,Federal electoral district,45.8615,-72.5174,1086,2008,1357.159959
Cardston,AB,3585,Census subdivision,49.1951,-113.3018,1087,2012,1310.8
Greater Sudbury,ON,161531,Census subdivision,46.5221,-80.953,1087,2008,1357.159959
North Cowichan,BC,29676,Census subdivision,48.8429,-123.7044,1087,2014,1088.4
Beaumont,AB,17396,Census subdivision,53.3524,-113.4154,1088,2015,1113.9
Gatineau,QC,276245,Census subdivision,45.4765,-75.7013,1088,2010,1493.7
Montcalm Region,QC,52596,Census division,45.9683,-74.5015,1088,2013,1200.9
Chateauguay,QC,47906,Census subdivision,45.3602,-73.7494,1089,2010,1493.7
Domaine-du-Roy Region,QC,31285,Census division,48.651,-73.4157,1089,2012,1310.8
Owen Sound,ON,21341,Census subdivision,44.569,-80.9406,1089,2011,1346.6
Pontiac Region,QC,14251,Census division,46.05,-76.91667,1089,2013,1200.9
Salmon Arm,BC,17706,Census subdivision,50.7001,-119.2838,1089,2010,1493.7
T'Kumlups,BC,,,50.680275,-120.29456,1089,2012,1310.8
Annapolis County,NS,20591,Census division,44.8529,-65.2649,1090,2015,1113.9
Neguac,NB,1684,Census subdivision,47.2553,-65.0709,1090,2014,1088.4
Penticton,BC,33761,Census subdivision,49.4991,-119.5937,1090,2013,1200.9
Terrebonne,QC,111575,Census subdivision,45.693,-73.6331,1090,2011,1346.6
High River,AB,13584,Census subdivision,50.5801,-113.8707,1092,2012,1310.8
Owen Sound,ON,21341,Census subdivision,44.569,-80.9406,1092,2015,1113.9
100 Mile House,BC,1980,Census subdivision,51.644,-121.295,1093,2008,1357.159959
Wiarton (South Bruce Peninsula),ON,,,44.742,-81.1408,1093,2010,1493.7
Beauharnois-Salaberry Region,QC,64320,Census division,45.2565,-73.9089,1094,2014,1088.4
Lanark County (Drummond-North Elmsley),ON,7773,Census subdivision,44.9702,-76.2018,1094,2012,1310.8
Papineau Region,QC,22832,Census division,45.7755,-75.1489,1094,2012,1310.8
Avalon East District,NL,86494,Federal Electoral District,47.29,-53.35,1095,2011,1346.6
New Westminster,BC,70996,Census subdivision,49.2057,-122.911,1095,2013,1200.9
Owen Sound,ON,21341,Census subdivision,44.569,-80.9406,1095,2009,1450
Owen Sound,ON,21341,Census subdivision,44.569,-80.9406,1095,2012,1310.8
Salmon Arm,BC,17706,Census subdivision,50.7001,-119.2838,1095,2011,1346.6
Central Hastings,ON,136445,Census division,44.3096,-77.9568,1096,2008,1357.159959
Gatineau,QC,276245,Census subdivision,45.4765,-75.7013,1096,2015,1113.9
West Parry Sound,ON,,,45.3474,-80.0348,1096,2012,1310.8
Kawartha Lakes,ON,75423,Census subdivision,44.5337,-78.9006,1097,2014,1088.4
Laurentides Region,QC,12710,Economic region,46.116667,-74.6,1097,2014,1088.4
Morinville,AB,9848,Census subdivision,53.7925,-113.6463,1098,2012,1310.8
Noelville (Warren/Killarney),ON,,,46.1293,-80.4254,1099,2015,1113.9
Rosthern,SK,1688,Census subdivision,52.6623,-106.3318,1100,2014,1088.4
Spruce Grove,AB,34066,Census subdivision,53.5428,-113.9034,1100,2013,1200.9
Banff,AB,7851,Census subdivision,51.1784,-115.5708,1101,2014,1088.4
Halifax,NS,403131,Census subdivision,44.6488,-63.5752,1101,2015,1113.9
Huron (Goderich),ON,7628,Census subdivision,43.7428,-81.7139,1101,2012,1310.8
Kindersley,SK,4571,Census subdivision,51.4675,-109.1547,1101,2015,1113.9
Southey,SK,804,Census subdivision,50.9404,-104.4989,1101,2015,1113.9
Cardston,AB,3585,Census subdivision,49.1951,-113.3018,1102,2009,1450
Miramichi,NB,17537,Census subdivision,47.0296,-65.5059,1102,2015,1113.9
Redcliff,AB,5600,Census subdivision,50.072,-110.7819,1102,2011,1346.6
Sidney,BC,11672,Census subdivision,48.6502,-123.399,1102,2008,1357.159959
Nelson,BC,10572,Census subdivision,49.4928,-117.2948,1103,2009,1450
Richmond County,NS,8964,Census division,45.6936,-60.6488,1103,2011,1346.6
Collingwood,ON,21793,Census subdivision,44.5008,-80.2169,1104,2011,1346.6
Edmundston,NB,16580,Census subdivision,47.369,-68.3267,1104,2010,1493.7
Maple Ridge,BC,82256,Census subdivision,49.2193,-122.5984,1104,2008,1357.159959
Sources Region,QC,,,45.733333,-71.8,1104,2009,1450
Grand Falls-Windsor District,NL,14171,Census subdivision,48.9277,-55.6575,1105,2012,1310.8
Cote-de-Gaspe Region,QC,17117,Census division,48.9742,-64.5193,1106,2012,1310.8
Claresholm,AB,3780,Census subdivision,50.0192,-113.5838,1107,2011,1346.6
Corner Brook,NL,19806,Census subdivision,48.949,-57.9503,1107,2015,1113.9
Huron (Goderich),ON,7628,Census subdivision,43.7428,-81.7139,1107,2009,1450
Killaloe,ON,2420,Census subdivision,45.555,-77.4164,1107,2009,1450
Southey,SK,804,Census subdivision,50.9404,-104.4989,1107,2013,1200.9
Colwood,BC,16859,Census subdivision,48.4288,-123.4889,1108,2008,1357.159959
Edmundston,NB,16580,Census subdivision,47.369,-68.3267,1108,2009,1450
Greater Sudbury,ON,161531,Census subdivision,46.5221,-80.953,1108,2009,1450
Harbour Grace,NL,2995,Census subdivision,47.6951,-53.2116,1108,2010,1493.7
Huron (Goderich),ON,7628,Census subdivision,43.7428,-81.7139,1108,2014,1088.4
Maple Ridge,BC,82256,Census subdivision,49.2193,-122.5984,1108,2011,1346.6
Summerland,BC,11615,Census subdivision,49.6073,-119.6769,1108,2008,1357.159959
Channel-Port aux Basques,NL,4067,Census subdivision,47.5721,-59.1364,1110,2015,1113.9
Huron (Goderich),ON,7628,Census subdivision,43.7428,-81.7139,1110,2008,1357.159959
Redwater,AB,2053,Census subdivision,53.9506,-113.1089,1110,2014,1088.4
Rouyn-Noranda,QC,42334,Census subdivision,48.2342,-79.0188,1110,2012,1310.8
Edmonton,AB,932546,Census subdivision,53.5444,-113.4909,1111,2014,1088.4
Haliburton Highlands,ON,18062,Census division,45.0467,-78.5085,1111,2008,1357.159959
Miramichi,NB,17537,Census subdivision,47.0296,-65.5059,1111,2011,1346.6
Noelville (Warren/Killarney),ON,,,46.1293,-80.4254,1111,2012,1310.8
Avignon/Bonaventure Region,QC,14461,Census division,48.2172,-65.9045,1112,2012,1310.8
Nelson,BC,10572,Census subdivision,49.4928,-117.2948,1112,2011,1346.6
Restigouche/Chaleur District,NB,,,47.77,-65.8,1112,2012,1310.8
Rosthern,SK,1688,Census subdivision,52.6623,-106.3318,1112,2012,1310.8
Collingwood,ON,21793,Census subdivision,44.5008,-80.2169,1113,2010,1493.7
Halifax,NS,403131,Census subdivision,44.6488,-63.5752,1113,2014,1088.4
Cote-de-Gaspe Region,QC,17117,Census division,48.9742,-64.5193,1114,2011,1346.6
Golden/Field,BC,6011,Census subdivision,51.2961,-116.9631,1115,2013,1200.9
Lac La Biche,AB,8330,Census subdivision,50.2594,-96.0616,1115,2010,1493.7
Devon,AB,6578,Census subdivision,53.3614,-113.7264,1116,2012,1310.8
Lanark County (Drummond-North Elmsley),ON,7773,Census subdivision,44.9702,-76.2018,1116,2011,1346.6
Richibucto,NB,1266,Census subdivision,46.6818,-64.866,1116,2015,1113.9
Lake Country,BC,12922,Census subdivision,48.9953,-123.8161,1117,2008,1357.159959
Midland,ON,16864,Census subdivision,44.7495,-79.8922,1117,2015,1113.9
Joliette Region,QC,66550,Census division,46.016667,-73.45,1120,2012,1310.8
Toronto,ON,5928040,CMA,43.6532,-79.3832,1120,2011,1346.6
Almaguin Highlands,ON,,,45.8,-79.6,1121,2011,1346.6
Fredericton,NB,58220,Census subdivision,45.9636,-66.6431,1121,2014,1088.4
Lake Cowichan,BC,3226,Census subdivision,50.0549,-119.4148,1121,2009,1450
Langley City,BC,25888,Census subdivision,49.1042,-122.6604,1121,2008,1357.159959
Manitoulin (Manitowaning),ON,13255,Census division,45.7373,-81.8137,1121,2015,1113.9
Restigouche/Chaleur District,NB,,,47.77,-65.8,1121,2010,1493.7
Haute-Cote-Nord Region,QC,10846,Census division,48.566667,-69.23333,1122,2009,1450
James Bay (Hearst),ON,5070,Census subdivision,49.688,-83.667,1122,2008,1357.159959
Cote-de-Gaspe Region,QC,17117,Census division,48.9742,-64.5193,1123,2015,1113.9
Edmonton,AB,932546,Census subdivision,53.5444,-113.4909,1123,2013,1200.9
Kings County,NS,60600,Census division,45.1072,-64.6553,1123,2008,1357.159959
Sources Region,QC,,,45.733333,-71.8,1123,2010,1493.7
Terrebonne,QC,111575,Census subdivision,45.693,-73.6331,1123,2012,1310.8
St. Eustache,QC,44008,Census subdivision,45.5585,-73.8961,1124,2015,1113.9
Toronto,ON,5928040,CMA,43.6532,-79.3832,1124,2010,1493.7
Bathurst,NB,4797,Census subdivision,47.6184,-65.6513,1125,2012,1310.8
Joliette Region,QC,66550,Census division,46.016667,-73.45,1125,2011,1346.6
Alberton,PEI,1145,Census subdivision,46.8131,-64.0648,1126,2008,1357.159959
Fredericton,NB,58220,Census subdivision,45.9636,-66.6431,1126,2008,1357.159959
Killam,AB,989,Census subdivision,52.7911,-111.8606,1126,2013,1200.9
Sault Ste. Marie,ON,73368,Census subdivision,46.5219,-84.3461,1126,2012,1310.8
Almaguin Highlands,ON,,,45.8,-79.6,1127,2014,1088.4
Bridgewater,NS,8532,Census subdivision,44.3721,-64.5209,1127,2015,1113.9
Cranbrook,BC,20047,Census subdivision,49.513,-115.7694,1127,2009,1450
Lake Cowichan,BC,3226,Census subdivision,50.0549,-119.4148,1127,2014,1088.4
Wainwright,AB,6270,Census subdivision,52.8331,-110.8505,1128,2013,1200.9
Grand Falls-Windsor District,NL,14171,Census subdivision,48.9277,-55.6575,1129,2011,1346.6
Parkland,MB,41674,Economic region,51.666667,-100.16667,1129,2015,1113.9
Espanola,ON,4996,Census subdivision,46.2657,-81.7711,1130,2014,1088.4
Kings County,NS,60600,Census division,45.1072,-64.6553,1130,2015,1113.9
Ladysmith,BC,8537,Census subdivision,52.4631,-113.7286,1130,2010,1493.7
Napanee,ON,7439,Census subdivision,44.2148,-76.9643,1130,2012,1310.8
Bancroft,ON,3881,Census subdivision,45.0559,-77.8549,1131,2010,1493.7
Sackville,NB,5331,Census subdivision,45.8979,-64.3683,1131,2015,1113.9
Joliette Region,QC,66550,Census division,46.016667,-73.45,1132,2010,1493.7
Kings County,NS,60600,Census division,45.1072,-64.6553,1132,2009,1450
Parksville,BC,12514,,49.3193,-124.3136,1132,2009,1450
Sarnia,ON,71594,Census subdivision,42.9745,-82.4066,1132,2013,1200.9
Charlottetown,PEI,36094,Census subdivision,46.2382,-63.1311,1133,2011,1346.6
Drummond Region,QC,103397,Federal electoral district,45.8615,-72.5174,1133,2009,1450
Enderby,BC,2964,Census subdivision,50.5508,-119.1397,1133,2009,1450
Napanee,ON,7439,Census subdivision,44.2148,-76.9643,1133,2014,1088.4
Wainwright,AB,6270,Census subdivision,52.8331,-110.8505,1133,2014,1088.4
Brantford,ON,97496,Census subdivision,43.1394,-80.2644,1134,2015,1113.9
Grenville County (Edwardsburgh/Cardinal),ON,7093,Census subdivision,44.8447,-75.5073,1134,2008,1357.159959
Ladysmith,BC,8537,Census subdivision,52.4631,-113.7286,1134,2009,1450
Kingston,ON,123798,Census subdivision,44.2312,-76.486,1135,2011,1346.6
Montcalm Region,QC,52596,Census division,45.9683,-74.5015,1135,2012,1310.8
Tofield,AB,2081,Census subdivision,53.3714,-112.6632,1135,2012,1310.8
High River,AB,13584,Census subdivision,50.5801,-113.8707,1136,2009,1450
Parkland,MB,41674,Economic region,51.666667,-100.16667,1136,2012,1310.8
Hamilton,ON,536917,Census subdivision,43.2557,-79.8711,1138,2008,1357.159959
South East District,NB,,,46.0431,-64.5263,1138,2010,1493.7
Enfield (East Hants),NS,22453,Census subdivision,45.0389,-63.7126,1139,2013,1200.9
Grand Falls-Windsor District,NL,14171,Census subdivision,48.9277,-55.6575,1139,2010,1493.7
Cranbrook,BC,20047,Census subdivision,49.513,-115.7694,1140,2015,1113.9
East Algoma (Elliot Lake),ON,10741,Census subdivision,46.3862,-82.6509,1140,2014,1088.4
Guysborough County,NS,7625,Census division,44.878,-59.8066,1140,2009,1450
Temiskaming,ON,9920,Census subdivision,47.833333,-80.5,1140,2012,1310.8
Barrhead,AB,4579,Census subdivision,54.1231,-114.4017,1141,2013,1200.9
"Beresford, Nigadoo, Petit-Rocher, Pointe-Verte",NB,6248,Census subdivision,47.8,-65.7,1141,2010,1493.7
Fairview,AB,2998,Census subdivision,56.0696,-118.3917,1141,2011,1346.6
Inverness County,NS,17235,Census division,46.2762,-61.0542,1141,2014,1088.4
Edmonton,AB,932546,Census subdivision,53.5444,-113.4909,1143,2008,1357.159959
Hanover,ON,7688,Census subdivision,44.1526,-81.0254,1143,2010,1493.7
Windsor,NS,3648,Census subdivision,44.9903,-64.131,"1,143.60",2010,1493.7
Boundary/Grand Forks,BC,3225,Census subdivision,49.0301,-118.4451,1144,2008,1357.159959
North Cowichan,BC,29676,Census subdivision,48.8429,-123.7044,1144,2015,1113.9
South Okanagan/Osoyoos,BC,5085,Census subdivision,49.0323,-119.4682,1144,2011,1346.6
Oromocto,NB,9223,Census subdivision,45.8487,-66.4813,1145,2014,1088.4
Westlock,AB,5101,Census subdivision,54.1522,-113.8514,1145,2010,1493.7
Medicine Hat,AB,63260,Census subdivision,50.0405,-110.6764,1146,2012,1310.8
Vernon,BC,40116,Census subdivision,50.267,-119.272,1147,2014,1088.4
Yellowhead,MB,1948,Census subdivision,53.603,-115.283,"1,147.70",2015,1113.9
Charlevoix-Est Region,QC,15509,Census division,47.8449,-70.0112,1148,2015,1113.9
Two Hills,AB,1352,Census subdivision,53.7116,-111.7449,1148,2011,1346.6
Lake Country,BC,12922,Census subdivision,48.9953,-123.8161,1149,2011,1346.6
Woodstock,NB,5228,Census subdivision,46.1503,-67.6034,1149,2014,1088.4
Corner Brook,NL,19806,Census subdivision,48.949,-57.9503,1150,2011,1346.6
Vulcan,AB,1917,Census subdivision,50.4032,-113.2612,1150,2011,1346.6
Domaine-du-Roy Region,QC,31285,Census division,48.651,-73.4157,1151,2015,1113.9
Edmonton,AB,932546,Census subdivision,53.5444,-113.4909,1151,2011,1346.6
Espanola,ON,4996,Census subdivision,46.2657,-81.7711,1151,2011,1346.6
Charlotte/The Isles District,NB,,,44.933333,-66.98333,1152,2008,1357.159959
Haute-Gaspesie Region,QC,11316,Census division,49.2846,-65.8767,1152,2014,1088.4
Sunshine Coast,BC,25599,Census subdivision,49.7604,-123.7644,1152,2011,1346.6
Avignon/Bonaventure Region,QC,14461,Census division,48.2172,-65.9045,1153,2009,1450
James Bay (Hearst),ON,5070,Census subdivision,49.688,-83.667,1153,2014,1088.4
Richibucto,NB,1266,Census subdivision,46.6818,-64.866,1153,2014,1088.4
Southey,SK,804,Census subdivision,50.9404,-104.4989,1153,2014,1088.4
Steinbach,MB,15829,Census subdivision,49.5285,-96.6911,1153,2008,1357.159959
Claresholm,AB,3780,Census subdivision,50.0192,-113.5838,1154,2012,1310.8
East Algoma (Elliot Lake),ON,10741,Census subdivision,46.3862,-82.6509,1154,2009,1450
Ladysmith,BC,8537,Census subdivision,48.9953,-123.8161,1154,2015,1113.9
Saint-Jean-sur-Richelieu,QC,84685,,45.3058,-73.2545,1154,2013,1200.9
Cobourg,ON,19440,Census subdivision,43.9593,-78.1677,1155,2008,1357.159959
Hamilton,ON,536917,Census subdivision,43.2557,-79.8711,1155,2011,1346.6
Mission,BC,33261,Census subdivision,49.1329,-122.3262,1155,2015,1113.9
Nelson,BC,10572,Census subdivision,49.4928,-117.2948,1155,2014,1088.4
Sarnia,ON,71594,Census subdivision,42.9745,-82.4066,1155,2014,1088.4
Haut-Saint-Laurent Region,QC,,,45.0577,-74.1281,1156,2014,1088.4
Rosthern,SK,1688,Census subdivision,52.6623,-106.3318,1156,2011,1346.6
Rouyn-Noranda,QC,42334,Census subdivision,48.2342,-79.0188,1156,2014,1088.4
Lunenburg County,NS,47126,Census division,44.4262,-64.6186,1157,2013,1200.9
Pontiac Region,QC,14251,Census division,46.05,-76.91667,1157,2011,1346.6
Brantford,ON,97496,Census subdivision,43.1394,-80.2644,1158,2014,1088.4
Manicouagan Region,QC,31027,Census division,49.216667,-68.15,1158,2015,1113.9
Campbell River,BC,32588,Census subdivision,50.0331,-125.2733,1159,2015,1113.9
Rimbey,AB,2567,Census subdivision,52.6409,-114.2357,1159,2009,1450
Saint-Jean-sur-Richelieu,QC,84685,,45.3058,-73.2545,1159,2011,1346.6
Swift Current,SK,16604,Census subdivision,50.2851,-107.7972,1159,2013,1200.9
Digby,NS,2060,Census subdivision,44.6215,-65.7576,1160,2012,1310.8
East Algoma (Elliot Lake),ON,10741,Census subdivision,46.3862,-82.6509,1160,2015,1113.9
Noelville (Warren/Killarney),ON,,,46.1293,-80.4254,1160,2011,1346.6
100 Mile House,BC,1980,Census subdivision,51.644,-121.295,1162,2011,1346.6
Beaumont,AB,17396,Census subdivision,53.3524,-113.4154,1162,2010,1493.7
D'Autray Region,QC,42189,Census division,46.1721,-73.2616,1162,2011,1346.6
Beauharnois-Salaberry Region,QC,64320,Census division,45.2565,-73.9089,1163,2015,1113.9
Charlevoix-Est Region,QC,15509,Census division,47.8449,-70.0112,1163,2010,1493.7
Golden/Field,BC,6011,Census subdivision,51.2961,-116.9631,1163,2011,1346.6
Saguenay,QC,145949,Census subdivision,48.416667,-71.06667,1163,2012,1310.8
Avalon East District,NL,86494,Federal Electoral District,47.29,-53.35,1164,2012,1310.8
Edmonton,AB,932546,Census subdivision,53.5444,-113.4909,1165,2015,1113.9
Therese-de-Blainville,QC,157103,Census division,45.666667,-73.88333,1165,2012,1310.8
Fort Saskatchewan,AB,24149,Census subdivision,53.7007,-113.2095,1166,2014,1088.4
Guysborough County,NS,7625,Census division,44.878,-59.8066,1166,2008,1357.159959
New Westminster,BC,70996,Census subdivision,49.2057,-122.911,1166,2012,1310.8
North Vancouver City,BC,52898,Census subdivision,49.32,-123.0724,1166,2009,1450
Richmond County,NS,8964,Census division,45.6936,-60.6488,1166,2012,1310.8
Winnipeg,MB,705244,Census subdivision,49.8951,-97.1384,"1,166.80",2014,1088.4
Richmond County,NS,8964,Census division,45.6936,-60.6488,1167,2014,1088.4
