Importer,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Exporter
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,75,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,China
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,18,,,,,,5,51,3,5,,138,19,,23,15,52,,28,18,29,21,3,8,18,28,49,48,59,,5,,,,,,,China
Sudan,,,,,,,,,,,,,,,,,,,6,6,102,23,69,23,,,,,10,,,106,,,,,,108,,7,,46,6,,,,,54,,,,3,16,97,16,39,25,7,28,6,17,18,29,28,32,27,12,China
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,56,15,,,,5,,,China
Tanzania,,,,,,,,,,,,,,,,,,,,,10,46,46,115,7,48,,10,10,11,,108,9,,,,1,,,,,,18,,5,,,,,,,,,46,,,0,0,,25,,76,113,88,26,20,,China
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,125,110,54,2,231,187,,258,258,150,,,,25,,,,,11,11,,,12,,2,20,24,8,,77,China
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,China
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,China
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,China
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,,7,7,14,14,28,35,35,35,35,35,35,,,,,China
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,China
UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,,,,,,,,,,6,,,,China
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,China
Unknown recipient(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,China
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,27,41,54,89,8,46,96,77,147,32,China
Viet Minh (France)*,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China
Viet Nam,,,,,,,,30,,,,,,,42,62,53,17,113,72,224,341,308,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,China
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31,,,,,13,,,,,,,,,,,,,8,,,,28,,,,,,23,5,2,,,,51,,,,26,China
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,10,121,12,,,,18,,,,,,,,,,,,,,21,21,,,,,,,,,,,China
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,16,,,,27,68,77,81,81,203,,,Russia
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,226,46,,,83,245,380,99,145,237,92,202,506,1510,1015,690,981,795,246,118,502,1548,Russia
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,57,,3,7,97,,56,76,18,,,,,,,,,,,,,27,39,Russia
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,14,,,,,,Russia
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,181,47,70,,,,,,,,68,,,,,46,46,2,,16,,,79,Russia
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,18,2,97,477,256,319,559,207,,Russia
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,5,54,,,,141,121,39,14,,,,21,20,,,,28,20,50,,79,124,Russia
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,,,,,,,116,,,,,75,75,75,60,87,178,Russia
Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,Russia
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,Russia
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,77,18,36,,35,6,5,Russia
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,1,1,1,122,,,,,,,,,,,,,,,,,,,,,Russia
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,12,,,,,,,2,,,,,Russia
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,27,,11,Russia
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,14,,,,7,,,,,,,Russia
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023,1011,72,498,1241,732,174,1462,2231,2500,2526,2076,2888,3107,2472,1324,1529,1102,744,811,741,803,713,758,643,Russia
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,41,,,,0,29,,34,,,,,,,,Russia
Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,Russia
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,27,,,,,,,,,,,,,,14,54,,,,,,,,,Russia
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,151,62,,113,,109,,,,,20,,,,43,22,6,,,,,Russia
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,168,26,,,,,,,,,,,Russia
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,5,,,,,,,,,3,,,,,,,,,,,,,,,Russia
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,16,,,,,,,,,,2,2,,14,,,,,,Russia
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,16,11,5,140,,47,,,60,60,60,135,60,60,,8,367,416,68,27,75,6,37,Russia
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,41,,214,16,,57,,,70,3,,,,,,,,,,,,Russia
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,86,88,,,174,230,,,,,,54,,,,,,,Russia
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,11,,150,,,,,,,,,,,,,,,,,,,,,Russia
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,Russia
Germany (FRG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,Russia
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,41,,,,Russia
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,369,299,136,47,20,22,63,,,,,,,,,,,,Russia
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,Russia
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,,,52,99,35,51,,,,,51,,,,,,,,,,7,,,Russia
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597,468,447,1094,607,1233,489,960,655,924,1799,2113,1476,693,963,1785,1555,1424,2371,2553,3873,3647,1570,1776,1590,Russia
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,229,27,,,,41,165,191,59,21,351,54,,,Russia
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,559,83,47,289,119,256,258,341,298,92,85,15,15,368,283,15,15,41,33,15,22,4,4,374,Russia
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,27,95,,68,81,,51,301,420,300,Russia
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,60,80,40,44,,,,,Russia
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,2,64,,68,121,136,20,,29,38,27,71,8,19,50,45,75,54,28,412,176,Russia
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,Russia
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,134,73,96,,,,,,,,,,,,,36,65,,,,48,,Russia
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,3,,,,,,,,,,4,9,Russia
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,21,4,7,36,,0,,4,,,,,,14,,,,,,Russia
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,Russia
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,13,13,,15,,,46,,,,Russia
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,7,,,,,,,,,,,,,,,,,,,,,,,,Russia
Macedonia (FYROM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,Russia
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,Russia
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551,,,,14,,1,46,16,,,,407,408,407,,,2,12,,,,Russia
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,27,24,183,,81,69,,2,,,,34,,,,7,,20,,,,,Russia
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,27,3,79,,,74,,Russia
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,69,27,27,27,,,,,,,,,Russia
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,Russia
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,34,,,,87,134,,120,137,151,127,14,14,44,380,144,55,28,12,,Russia
NATO**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,Russia
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,14,,Russia
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,13,15,86,Russia
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,Russia
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,1,2,27,,,,,,,,,,,58,87,23,Russia
Northern Alliance (Afghanistan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,19,207,,,,,,,,,,,,,,,,Russia
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,38,30,87,78,9,9,9,18,28,9,8,8,5,15,5,5,4,1,,,,,,,Russia
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,81,,,,,,99,,81,,,9,18,18,24,24,25,24,25,35,41,Russia
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,,,,,,,,2,,14,6,,,,,,,Russia
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,22,31,11,2,94,,1,,,,,,,,12,,59,,,54,88,20,Russia
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,0,25,145,6,,,23,23,26,11,6,6,,,,19,,20,14,,,,,,Russia
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,2,22,2,15,33,1,1,1,,,,,,,,,,,,,,,,,Russia
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,,,,,,,,,,,,,,14,27,,Russia
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,18,,,,,,,,,,Russia
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,2,1,6,1,1,1,,,,,,,,,,,,,,,,14,Russia
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,Russia
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,,,,,,,,,,,,,,,,,,Russia
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,29,200,29,,,,,,27,,,,,,,6,6,,,,,,,Russia
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,35,,,,,,,Russia
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,Russia
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,131,14,29,29,,,10,32,86,102,,,,,,,,,,,Russia
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,18,4,Russia
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,41,,,,28,18,,63,,,,,,,,,,,,20,,,,Russia
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,91,31,86,277,92,22,20,22,36,69,73,46,,,51,51,Russia
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,10,,,,,20,23,9,8,25,25,5,15,26,,44,72,238,282,351,351,,,,Russia
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,13,7,,32,,,,,,,8,Russia
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,14,,Russia
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,7,44,95,,,,,,,,,,,,,16,16,,,,,,,Russia
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,27,135,56,13,17,50,36,Russia
UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,138,196,202,36,99,133,68,44,,,,,,,,1,113,288,90,90,90,,,,Russia
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,18,,,,,14,,442,154,20,,,,Russia
Ukraine Rebels*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,Russia
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,Russia
United Nations**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,Russia
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,Russia
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,Russia
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,,,,,,,,,,,,,,,Russia
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,,,,,,,,,356,747,697,252,57,264,515,1041,79,,,Russia
Viet Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,167,98,171,145,2,91,56,2,298,158,15,2,153,55,151,987,713,313,983,722,1039,Russia
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,53,14,524,22,231,247,,,,,90,,,,,,,Russia
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,Russia
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,Russia
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,UK
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4,4,2,,,9,9,82,19,,,,,,9,9,9,,,,9,9,,,9,,9,,9,9,,,,47,42,5,,,36,36,UK
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Argentina,,,,,,,,,,120,,,,,,2,,,44,22,41,70,,,,,305,3,25,6,7,308,,45,15,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,UK
Australia,468,351,308,151,125,627,391,369,344,199,51,1,373,297,166,1,3,80,117,411,8,9,7,17,62,50,,80,115,50,62,132,42,84,54,5,5,9,4,37,15,15,15,,,,6,,,12,87,291,137,45,17,8,,,,,,80,49,,17,2,,UK
Austria,,,,,,,20,27,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,22,7,,3,,,,,,37,18,,,,,,,,,,,,,UK
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Bahrain,,,,,,,,,,,,,,,,1,1,,,,,0,7,,,,,,,,5,2,,,,10,,,1,,,,,,,,,,,,,25,,0,,,60,,,,,,,,,,,UK
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,2,,,36,,36,,,,59,,,,,,,,,,,,36,,,,,,,,16,8,16,,,,,,23,,,,,,,UK
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Belgium,163,184,166,232,202,62,341,342,312,1,,,,,,,,,,,,,,81,85,84,93,54,58,16,9,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,UK
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,UK
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,2,4,,,,3,,8,15,,1,,2,,,8,13,,,,,,,,,,,,,,,,,,,,,UK
Brazil,,176,,105,105,,,,1,,124,,17,34,,3,4,0,,3,,2,8,84,60,9,278,450,619,279,275,6,4,1,,,6,6,,41,35,45,47,37,47,194,308,282,63,30,,,7,,,,,20,,20,,,77,40,,2,2,UK
Brunei,,,,,,,,,,,,,,,,5,1,18,,,,9,0,1,1,1,0,,13,,,0,,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,1,,,,,,9,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Cameroon,,,,,,,,,,,,,,0,,,,,,,,,,,,,,17,,,,,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Canada,48,59,52,300,316,33,106,504,65,163,,,33,95,50,75,,75,75,,,,15,5,,,15,15,,25,25,25,24,2,,,,,30,30,10,94,53,2,,25,25,26,,,320,380,280,20,270,16,4,,2,2,11,12,,,,,,UK
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,UK
Chile,,,,,11,,,,,,280,,,,2,,,,48,8,,32,5,126,145,,150,,,,,,198,5,122,,128,124,3,,50,,50,,6,4,3,,,22,33,33,33,167,22,,120,145,145,,,,6,1,,,,UK
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,20,40,60,60,50,50,50,70,40,40,40,40,40,40,40,40,40,40,20,UK
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,UK
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,0,UK
Cuba,,,,,,,,,21,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,0,,,,,,,,,,,UK
Denmark,79,2,35,258,135,,47,52,43,,,,,10,34,30,30,30,,,21,36,,,,6,21,23,14,,160,124,108,13,13,13,13,10,10,64,12,24,18,6,,,,,,,,,,,,38,63,,,63,13,,,,,,,UK
DR Congo,,,,,,,,,,,,,3,3,,,,,,4,3,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Ecuador,,,,,14,124,,,,,,,,,,,,,,,,3,,10,10,10,10,156,,,,7,31,,,,,8,8,,,100,4,,,,,,,,,,,,,,,2,,,,4,4,,,,,UK
Egypt,99,40,,0,91,46,74,,,,,1,,,,,,,,,,,,34,,141,47,14,37,26,3,141,209,15,25,15,5,5,15,18,10,10,8,8,,,,,,,,,,,,,,,,,,,,,,,,UK
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,UK
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,18,18,18,,,,,,,,UK
Ethiopia,,,,,,,,,,,,,,,,,1,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Finland,,,19,,,11,15,,21,23,15,,12,1,1,,,,,,,,,,12,15,,,,,17,77,85,85,85,87,5,,,10,25,23,,55,43,,,3,,,,,,,,,,,,,,,,,,,0,UK
France,,521,566,635,271,228,62,24,24,42,23,23,,,,14,39,54,66,30,30,30,15,,,,,9,43,55,68,95,95,58,27,15,24,,12,9,27,15,15,15,55,40,30,20,10,,18,,,,,,,,,,,,,,,,,UK
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Germany (FRG),,,,,,,12,154,342,302,135,96,123,58,92,45,80,117,129,68,66,65,105,90,60,10,,,,,,,34,34,34,,17,,47,44,6,6,6,6,6,6,2,,,54,41,,6,12,22,20,10,,,,,,,,,,,UK
Ghana,,,,,,,,,,,12,16,20,3,40,40,10,,,,,,1,6,15,2,,,2,,,,,,,5,,1,,,1,1,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,UK
Greece,2,2,,,,,,,,,,,,,,,,,4,,,,,,,30,34,30,31,,10,15,15,,,,,,,,,,,,26,,,13,,,22,22,,,,50,100,,,,50,,,,,50,,UK
Guyana,,,,,,,,,,,,,,,,,,,,,,2,,,1,,2,5,1,5,,,,,3,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,UK
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
