,0
735,"['Genre: Animation' ""Piglet's Big Movie"" 'Release Date: March 21, 2003'
 '\xa0$62,870,546']"
736,"['Genre: Comedy' 'Dickie Roberts:Former Child Star'
 'Release Date: September 5, 2003' '\xa0$23,794,648']"
738,"['Genre: Action / Crime' 'Biker Boyz' 'Release Date: January 31, 2003'
 '\xa0$23,510,601']"
739,"['Genre: Romantic Comedy' ""Love Don't Cost a Thing""
 'Release Date: December 12, 2003' '\xa0$21,924,226']"
740,"['Genre: Thriller' 'Cold Creek Manor' 'Release Date: September 19, 2003'
 '\xa0$29,119,434']"
741,"['Genre: Horror Comedy' 'Cabin Fever' 'Release Date: September 12, 2003'
 '\xa0$30,553,394']"
742,"['Genre: Family Adventure' 'Looney Tunes:Back in Action'
 'Release Date: November 14, 2003' '\xa0$68,514,844']"
743,"['Genre: Drama' 'Whale Rider' 'Release Date: June 6, 2003'
 '\xa0$41,442,113']"
744,"['Genre: Action Comedy' 'The In-Laws' 'Release Date: May 23, 2003'
 '\xa0$26,891,849']"
745,"['Genre: Romantic Comedy' 'Down with Love' 'Release Date: May 9, 2003'
 '\xa0$39,468,111']"
746,"['Genre: Drama / Thriller' 'The Life of David Gale'
 'Release Date: February 21, 2003' '\xa0$38,955,598']"
747,"['Genre: Sci-Fi Adventure' 'Timeline' 'Release Date: November 26, 2003'
 '\xa0$43,935,763']"
748,"['Genre: IMAX' 'Bugs! (IMAX)' 'Release Date: March 12, 2003'
 '\xa0$29,388,999']"
749,"['Genre: Comedy' 'A Mighty Wind' 'Release Date: April 16, 2003'
 '\xa0$18,750,246']"
750,"['Genre: Romantic Comedy' 'Deliver Us from Eva'
 'Release Date: February 7, 2003' 'Producer:']"
751,"['Genre: IMAX' 'Ghosts of the Abyss (IMAX & 35mm)'
 'Release Date: April 11, 2003' '\xa0$22,141,539']"
752,"['Genre: Drama' '21 Grams' 'Release Date: November 21, 2003'
 '\xa0$60,427,839']"
753,"['Genre: Comedy' 'View from the Top' 'Release Date: March 21, 2003'
 '\xa0$19,526,014']"
754,"['Genre: Comedy' ""My Boss's Daughter"" 'Release Date: August 22, 2003'
 '\xa0$18,191,005']"
755,"['Genre: Romantic Comedy' 'A Guy Thing' 'Release Date: January 17, 2003'
 '\xa0$17,432,163']"
757,"['Genre: Horror' 'Wrong Turn' 'Release Date: May 30, 2003'
 '\xa0$28,650,575']"
758,"['Genre: Romantic Comedy' 'Alex and Emma' 'Release Date: June 20, 2003'
 '\xa0$15,368,897']"
759,"['Genre: Romance' 'How to Deal' 'Release Date: July 18, 2003'
 '\xa0$14,308,132']"
760,"['Genre: Drama / Thriller' 'House of Sand and Fog'
 'Release Date: December 19, 2003' '\xa0$16,942,795']"
761,"['Genre: War' 'Gods and Generals' 'Release Date: February 21, 2003'
 '\xa0$12,923,936']"
763,"['Genre: Crime Thriller' 'Confidence' 'Release Date: April 25, 2003'
 '\xa0$23,014,206']"
764,"['Genre: Period Drama' 'Girl with a Pearl Earring'
 'Release Date: December 12, 2003' '\xa0$31,466,789']"
765,"['Genre: Documentary' 'Winged Migration' 'Release Date: April 18, 2003'
 '\xa0$32,257,753']"
766,"['Genre: Horror' 'House of the Dead' 'Release Date: October 10, 2003'
 '\xa0$13,818,181']"
767,"['Genre: Thriller' 'Swimming Pool' 'Release Date: July 2, 2003'
 '\xa0$22,441,323']"
768,"['Genre: Comedy' 'Duplex' 'Release Date: September 26, 2003'
 '\xa0$19,322,135']"
769,"['Genre: Foreign' 'La Grande Seduction' 'Release Date: July 11, 2003'
 '\xa0$12,587,032']"
770,"['Genre: Action / Crime' 'Dark Blue' 'Release Date: February 21, 2003'
 '\xa0$12,150,301']"
771,"['Genre: Romantic Comedy' 'Le Divorce' 'Release Date: August 8, 2003'
 '\xa0$12,991,996']"
772,"['Genre: Comedy' 'Boat Trip' 'Release Date: March 21, 2003'
 '\xa0$15,020,293']"
773,"['Genre: Crime Drama' 'The Cooler' 'Release Date: November 26, 2003'
 '\xa0$10,464,788']"
774,"['Genre: Drama / Thriller' 'Dirty Pretty Things'
 'Release Date: July 18, 2003' '\xa0$13,904,766']"
775,"['Genre: Documentary' 'Tupac:Resurrection'
 'Release Date: November 14, 2003' '\xa0$7,808,524']"
777,"['Genre: Foreign' 'City of God' 'Release Date: January 17, 2003'
 '\xa0$30,641,770']"
778,"['Genre: Comedy / Drama' 'It Runs in the Family'
 'Release Date: April 25, 2003' '\xa0$8,211,508']"
